,train_perplexity,train_mean_loss,test_perplexity,test_mean_loss
0,2635.736264070408,7.876918,493.70428362487104,6.2019367
1,529.8090864708536,6.2725167,302.4812958057058,5.7120194
2,393.0395848971866,5.9739103,246.80765162448927,5.5086093
3,315.69888874297163,5.754789,237.65316496040964,5.4708123
4,272.61910978843247,5.6080756,201.37255658424706,5.3051567
5,241.2384735752148,5.485786,175.28768982353515,5.1664286
6,216.18600339825798,5.376139,161.79775075204495,5.086347
7,193.9701898805698,5.2677045,151.5212269599155,5.0207257
8,179.9825904509048,5.19286,139.97314683015773,4.9414506
9,178.86890034672993,5.186653,127.86506311582544,4.8509755
10,162.60537232952126,5.091326,120.70254809902167,4.7933292
11,157.00119758160676,5.0562534,114.164389994927,4.7376394
12,143.31267229028495,4.965029,122.29043967730519,4.806399
13,139.3647627527714,4.9370947,116.20687959300022,4.755372
14,141.41829715852245,4.951722,111.59398102452518,4.714867
15,130.36956813435043,4.8703732,111.69592884416018,4.7157803
16,116.76282148751501,4.7601447,103.13489860674507,4.636038
17,114.56794145340231,4.741168,103.53781662399143,4.639937
18,115.45549773562864,4.748885,96.1403182792032,4.565809
19,110.35473774832568,4.7037,97.94516746269612,4.584408
20,108.11532181234355,4.6831985,88.92963338023688,4.4878454
21,99.14329226246488,4.596566,90.22512102039403,4.502308
22,105.42929340420253,4.6580405,84.59500910519266,4.4378753
23,98.50289939985676,4.590086,69.43868849893262,4.240444
24,93.18696834289011,4.534608,82.40950033156513,4.4117007
25,87.64777326601418,4.473326,79.6615941936473,4.3777876
26,92.87170323254722,4.531219,72.38848731262972,4.2820473
27,89.58567131148284,4.4951954,71.27980208631121,4.266613
28,89.36453844532222,4.492724,75.27462934393648,4.321143
29,85.80893727646793,4.452123,80.572261020501,4.3891544
