,train_perplexity,train_mean_loss,test_perplexity,test_mean_loss
2,17.03197238341627,2.8350923,15.886179603601235,2.7654495
3,11.962482379662035,2.4817753,13.37334287192596,2.5932634
4,11.989736464034078,2.484051,9.999122977843916,2.3024974
5,13.123095879117676,2.5743737,12.318658622793391,2.511115
6,12.428880897773203,2.5200229,8.00996260377179,2.080686
7,10.880479167635167,2.3869703,11.493977977623977,2.4418232
8,8.983568070079828,2.1953971,10.498972039589583,2.3512774
9,9.757366397537009,2.2780225,5.836991262827117,1.7642155
10,11.516350244613255,2.4437678,11.097876441703354,2.4067538
11,10.047637402164804,2.3073375,6.552939238563199,1.8799137
12,7.683514375996197,2.039077,7.797509575984527,2.0538044
13,9.035339533953785,2.2011435,20.159313719039474,3.0036664
14,9.561043434630049,2.2576969,6.334858191445082,1.8460674
15,7.468587920504358,2.010706,10.158823982526249,2.3183427
16,9.586315736976298,2.2603366,5.5799941974615175,1.7191877
17,8.689344058314896,2.1620975,8.329968673059879,2.1198597
18,6.8342950083477,1.9219533,7.4512112149003045,2.0083766
19,8.515121282079031,2.1418436,8.539868318503457,2.1447456
20,8.324012745434523,2.1191444,9.75054331023234,2.277323
21,6.247897406925241,1.832245,8.265995670032286,2.1121502
22,5.257365575861848,1.6596301,11.662615544893399,2.4563885
23,5.941998256312967,1.7820455,12.021729375715648,2.4867158
24,7.331596833773212,1.9921933,9.838906021416312,2.2863445
25,7.374837997240319,1.9980739,5.7575587320197785,1.7505136
26,7.015938505969466,1.9481845,7.827880725527322,2.0576918
27,7.061280725998604,1.9546264,8.339912644242883,2.1210527
28,6.493358413195639,1.8707799,8.262277669231066,2.1117003
29,6.255156044289951,1.8334061,11.073560472018688,2.4045603
30,5.235577566760778,1.6554772,6.358837188266197,1.8498455
31,6.228614368979428,1.8291539,5.833123070188409,1.7635525
32,7.835134707428306,2.058618,7.565617196850544,2.023614
33,6.421697178310557,1.8596824,5.150952319158177,1.6391816
34,6.021223453336677,1.7952905,5.228505343451928,1.6541255
35,7.544637670169932,2.020837,9.10092385398906,2.208376
36,6.316805100060364,1.8432136,8.172532351021857,2.1007788
37,6.537588484042162,1.8775684,6.825225146449191,1.9206253
38,5.924897341818314,1.7791634,7.375023500054121,1.9980991
39,5.356880453197282,1.6783818,5.85317764620645,1.7669847
40,6.807577579402316,1.9180363,6.751961623917714,1.9098331
41,5.592251073928062,1.7213819,7.104250310126125,1.9606932
42,4.0328292963801715,1.3944682,5.61698626904771,1.7257953
43,6.135016489193713,1.8140128,4.851956097687972,1.579382
44,4.659690421407176,1.538949,5.401949081802354,1.6867598
45,6.031682770166124,1.797026,4.235404438958977,1.4434788
46,5.215942540621279,1.6517198,7.19480921190585,1.9733598
47,6.25733602539943,1.8337545,5.7540196037648155,1.7498987
48,6.7002872092631005,1.9021504,7.259952147850833,1.9823732
49,6.66135849819286,1.8963234,5.665428379166259,1.7343825
50,5.8995235166069815,1.7748716,11.947657914895368,2.4805353
51,5.212441180008712,1.6510483,6.46299864832667,1.8660934
52,5.402077875840139,1.6867837,5.439165718585899,1.6936257
53,5.297372466267549,1.6672109,4.947546192956673,1.5988917
54,4.943774722360542,1.5981292,5.741861963867291,1.7477835
55,5.09567904634097,1.6283929,4.6951648645641715,1.5465332
56,5.392943054212805,1.6850913,6.210141470219662,1.8261837
57,6.634683579073615,1.892311,6.398485612879148,1.8560613
58,4.630493567860345,1.5326635,4.7652357334557465,1.561347
59,3.853685710870435,1.34903,6.431618395491271,1.8612262
60,5.868271333012477,1.7695601,6.869782781335567,1.9271325
61,6.44908392239673,1.8639381,3.5995344400286027,1.2808045
62,6.414588613987102,1.8585749,5.833910273603156,1.7636875
63,4.788557530464303,1.5662292,5.401206644050328,1.6866224
64,4.07603824696345,1.4051255,5.471084380048858,1.6994768
65,4.869567820319162,1.5830052,5.6073195904243605,1.7240728
66,4.547805195702885,1.5146447,3.7891587243505036,1.332144
67,4.9578411177132855,1.6009704,4.577495522906007,1.521152
68,3.810178991715886,1.3376762,5.184404148538957,1.6456549
69,6.029740975695806,1.796704,5.14636931232645,1.6382915
70,5.400290489046808,1.6864527,6.064040878552693,1.8023764
71,3.5319920771124074,1.261862,5.549240517154114,1.7136611
