,train_perplexity,train_mean_loss,test_perplexity,test_mean_loss
0,978.1733212152084,6.885687,357.5193516905434,5.8791895
1,425.91822992114516,6.0542474,217.5063178393357,5.382228
2,207.60180249680477,5.335622,204.87305764494693,5.3223906
3,180.84605437604273,5.197646,140.00525456733698,4.94168
4,169.81058483523597,5.1346836,175.87769477709708,5.169789
5,148.64354900223842,5.001551,149.6406697289143,5.008237
6,132.88225358120215,4.8894634,188.4899455654752,5.2390447
7,125.58532413568015,4.8329854,116.76850066452623,4.7601933
8,135.62005639706123,4.9098573,177.63779681290592,5.1797466
9,109.22587938853752,4.693418,93.71072382725563,4.5402126
10,124.99989206730046,4.828313,136.1245025950475,4.91357
11,130.5850858259142,4.872025,165.96110667151328,5.1117535
12,99.96906444954845,4.604861,76.70338137705515,4.339946
13,118.03681538424584,4.7709966,115.99628432061613,4.753558
14,112.30363031985539,4.721206,128.31771714584767,4.8545094
15,98.15476496977428,4.5865455,123.8287585204783,4.8188996
16,104.36729050168647,4.6479163,110.71446273765712,4.7069545
17,77.31496366925202,4.3478875,124.20687575208464,4.8219485
18,87.75273829274039,4.474523,75.99948952862506,4.3307266
19,84.22800523045157,4.4335275,69.24202361181842,4.237608
20,88.24304739655317,4.480095,79.70563168117509,4.3783402
21,74.34172941101268,4.3086724,90.1254065431403,4.501202
22,88.70352127665873,4.4852996,67.4080152367546,4.210764
23,81.24850620837012,4.3975124,94.06188736835513,4.543953
24,67.60001905469707,4.2136083,103.3273168402627,4.637902
25,68.24368665788573,4.223085,71.0041768853027,4.2627387
26,61.32581769921102,4.116201,97.94810985229638,4.584438
27,66.99659646027294,4.204642,60.16447958531288,4.097082
28,84.76124394889943,4.4398384,45.19316006008119,3.8109457
29,82.2279962070249,4.409496,52.762565592312065,3.965802
30,66.3208139737427,4.194504,47.97916614922371,3.8707669
31,66.59845336458453,4.1986814,77.09224186710834,4.3450027
32,69.29896861560195,4.23843,76.06231833121666,4.331553
33,54.127341432732365,3.9913394,74.97865865134592,4.3172035
34,60.30694374174076,4.0994473,60.143454472501176,4.0967326
35,60.41038354202061,4.101161,93.88829032309465,4.5421057
36,49.81741065007485,3.9083645,62.160439749876346,4.129719
37,66.09417178127471,4.1910806,76.92266890088347,4.3428006
38,66.04001770493468,4.190261,37.423789508183724,3.6223066
39,43.84175700532759,3.7805867,74.78238389883445,4.3145823
40,64.66449848874699,4.1692123,68.82692632438919,4.231595
41,64.69836356368883,4.169736,47.3254419026856,3.857048
42,52.21585382001312,3.9553862,50.71360364007391,3.9261942
43,53.69554361402559,3.98333,48.159958111067304,3.874528
44,46.85684761605041,3.8470972,41.70115521763955,3.7305288
45,48.63619188768016,3.884368,50.8512291851124,3.9289043
46,50.58287455318741,3.923613,69.13615253508864,4.236078
47,46.789308502733135,3.8456547,36.245538418796215,3.5903163
48,58.34078067526031,4.0663013,46.20280339745422,3.8330405
49,48.203794234245855,3.8754377,75.67479172633082,4.326445
50,46.43381447727912,3.838028,53.71122837301645,3.983622
51,37.58515230829394,3.626609,32.04503012700391,3.467142
52,43.966299665766286,3.7834234,69.9623492587346,4.247957
53,42.04305410548081,3.7386942,33.959241561626804,3.525161
54,41.77032165179947,3.732186,53.28020941387674,3.975565
55,46.1940798605667,3.8328516,46.022917136736865,3.8291395
56,43.951280977107125,3.7830818,59.283594261059044,4.0823326
57,42.52728679609222,3.750146,46.50964408921114,3.8396597
58,51.06673790907611,3.9331334,30.24742908502542,3.4094112
59,31.898956251641074,3.4625733,39.52792707916349,3.6770074
60,44.379653707486256,3.792781,43.924065479280266,3.7824624
61,40.05217280172582,3.690183,41.33248254286494,3.7216487
62,41.723591147803766,3.7310667,26.963423906128163,3.2944813
63,45.994517534466794,3.8285222,28.066477467506907,3.334576
64,37.15069968287926,3.6149826,36.04124965924987,3.584664
65,36.461250160816704,3.59625,26.60528312731797,3.2811098
66,31.172203876757035,3.4395268,60.80907098707601,4.107739
67,36.53512010153013,3.598274,27.775342173777386,3.3241487
68,45.85088002175807,3.8253944,60.54811737120397,4.1034384
69,39.39023497960993,3.673518,39.51412304847572,3.6766582
70,39.98584187403923,3.6885254,53.58296565467494,3.9812312
71,30.719984581408507,3.4249134,48.46605551085093,3.8808637
72,37.65945857626379,3.6285841,33.867647993559906,3.5224602
73,31.26091970806552,3.4423687,66.90392002640196,4.2032576
74,45.893478776144676,3.826323,52.178743410773684,3.9546752
75,32.23050949004957,3.4729135,60.76840316951205,4.10707
76,33.33580650157343,3.506632,29.775227558425144,3.3936768
77,29.954788578487758,3.3996892,32.17075763155499,3.471058
78,33.56317229837815,3.5134294,29.618527003819786,3.3884
79,35.854760818253,3.5794764,35.2542745015815,3.5625868
80,43.18147636174662,3.7654116,39.31607553691996,3.6716335
81,40.02414621340169,3.689483,28.54454079002145,3.3514657
