,train_perplexity,train_mean_loss,test_perplexity,test_mean_loss
0,23549.620092147692,10.066865,2330.9744354039167,7.7540417
1,3378.338286758096,8.125139,2147.079944746905,7.671864
2,2926.5102532148344,7.981566,1431.4098106583367,7.266415
3,1941.3314324652863,7.5711293,821.5357395307911,6.7111754
4,2060.447876063391,7.6306787,581.8303959746091,6.366179
5,2210.290197516882,7.700879,796.5962151366091,6.680348
6,2193.42110946632,7.6932178,1198.3772866433537,7.0887237
7,1736.278587699777,7.4594994,510.5832713063584,6.2355537
8,1431.5401835279504,7.266506,1011.4057460156492,6.9190965
9,1394.9687447653812,7.2406273,1165.218820294181,7.060664
10,1570.7114115755921,7.359284,675.2402348506662,6.5150685
11,1685.1217346209319,7.429593,872.8184402172913,6.7717276
12,1202.467696315158,7.092131,629.1059584230424,6.4442997
13,1201.6812744749013,7.091477,552.0042345137657,6.3135557
14,1377.2949360693567,7.2278767,918.7926879685812,6.8230605
15,1546.9970001137326,7.344071,1072.1336688328288,6.977406
16,1217.199647418739,7.104308,583.9171362594449,6.369759
17,928.0959557387145,6.833135,1021.3403934191651,6.928871
18,1199.6860058805948,7.089815,990.7018765491656,6.8984137
19,1386.315190270667,7.2344046,962.0200033840497,6.8690352
20,1194.7889413234775,7.085725,627.0696895332039,6.4410577
21,1329.1901356757705,7.192325,714.8307512036221,6.572046
22,1169.5222429165253,7.0643506,271.4519212329708,5.603785
23,1074.661625093488,6.979761,858.2080673912994,6.7548466
24,1230.6500372571236,7.115298,810.5707648332225,6.6977386
25,1163.3717393084062,7.0590777,385.51415960474645,5.954578
26,1074.918387498213,6.98,235.8241983227895,5.4630866
27,1199.9240043091697,7.0900135,544.2423301724342,6.2993946
28,825.6663976237836,6.716191,335.1469178492508,5.814569
29,1178.484171319809,7.0719843,601.4543525397164,6.3993506
30,1152.0099487951418,7.0492635,810.1314217762964,6.6971965
31,1001.1236782877854,6.9088783,471.8423007446456,6.156645
32,1122.0359252648836,7.0229,316.8921867616081,5.7585616
33,805.549381078643,6.6915245,292.5135945631079,5.678511
34,796.9594313392614,6.680804,234.48379796902532,5.4573865
35,737.7146596776452,6.603557,461.7149811529116,6.134948
36,1050.6730334808956,6.957186,242.0987136276062,5.4893456
37,860.6903291325474,6.757735,300.9871249627871,5.7070675
38,825.757349277538,6.716301,227.7240163997472,5.4281344
39,686.4433518910698,6.5315237,272.59649161040124,5.6079926
40,575.4191457452954,6.3550987,314.7343694659916,5.751729
41,737.7364697252755,6.6035867,172.09866588337215,5.148068
42,539.9109655125836,6.2914042,222.8662609970834,5.406572
43,738.8838125338618,6.6051407,303.27909645919704,5.7146535
44,619.6323155367285,6.4291263,281.04773555274477,5.6385245
45,768.7020077386545,6.6447034,323.4430872943877,5.779023
46,727.8080500279262,6.5900373,248.44028684569275,5.5152025
47,682.0513849742554,6.525105,219.77784168928235,5.392617
48,507.64219521345717,6.229777,280.4013264411465,5.636222
49,447.7304168786193,6.1041913,334.1609020460833,5.8116226
50,539.5570883208375,6.2907486,179.5615241944429,5.190518
51,540.8014448972722,6.293052,244.21448474313812,5.498047
52,780.207729073738,6.65956,304.67043513312535,5.7192307
53,600.7942243767628,6.3982525,318.54307388277783,5.7637577
54,465.3327064114187,6.1427526,206.7349602772761,5.3314376
55,751.0980893473749,6.6215363,204.81718596328267,5.322118
56,661.1220359576789,6.4939384,262.6930580374912,5.5709863
57,569.2269938286832,6.3442793,98.49674654264611,4.5900235
58,553.9760782369582,6.3171215,169.5477104987523,5.1331344
59,420.4618300595747,6.0413537,169.19122867827613,5.1310296
60,521.9982334303148,6.257664,259.65079081109945,5.5593376
61,466.6325629049403,6.145542,268.3657958558193,5.592351
62,540.603691532138,6.2926865,89.8261100157589,4.4978757
63,435.6195854085098,6.0767694,339.90080070554063,5.828654
64,442.2492538110338,6.0918736,196.50348756927215,5.28068
65,499.865596999619,6.2143393,179.07815701593353,5.1878223
66,461.13521632174235,6.1336913,227.32053819334297,5.426361
67,335.10728718760697,5.8144507,150.1322498080943,5.0115166
68,608.1069673058226,6.410351,127.35168573406843,4.8469524
69,294.9086168537874,5.6866655,207.3718719241374,5.3345137
70,506.0719476780453,6.226679,123.65451793262064,4.8174915
71,539.0990656084429,6.2898993,241.47451852281057,5.486764
72,408.3645585104239,6.0121603,175.50371949036702,5.16766
73,446.1375989809733,6.1006274,217.37267015955786,5.3816133
74,373.13732878607783,5.9219465,126.63054909102239,4.841274
75,517.7624193384086,6.2495165,92.27542818796526,4.524778
76,263.0259641731349,5.5722528,108.0176207322234,4.6822944
77,307.73322803850476,5.7292333,239.35372213621517,5.4779425
78,355.70530477643354,5.8741026,200.27973055398672,5.299715
79,386.42960266122395,5.9569497,407.61303440769575,6.0103183
80,343.46283240352096,5.839079,281.8649325962744,5.641428
81,403.3501219001777,5.999805,251.90121299971563,5.529037
82,339.9562356730409,5.828817,216.6260072171228,5.3781724
83,374.6370459277606,5.9259577,208.64531992495236,5.340636
84,257.8070107426486,5.5522113,305.2154246221894,5.721018
85,441.1052311365852,6.0892835,170.30157874503894,5.137571
86,313.0667945075854,5.7464166,189.88958939417213,5.246443
87,289.5059059510316,5.6681757,259.50028009834733,5.558758
88,282.88096957878406,5.645026,356.51749200949615,5.8763833
89,286.67906289031924,5.6583633,254.79702868497574,5.5404673
90,191.2170911880455,5.2534094,264.49332363428,5.577816
91,254.18214806736043,5.538051,221.91007326545898,5.402272
92,344.1745196535273,5.841149,218.6522663777059,5.3874826
93,282.15310688059486,5.64245,227.88499961260706,5.428841
